Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.362961162	0.083850381	0.019845198	0.222236283	0.07913511	0.124232237	0.01845427	0.045541162	0.021609159
0.29337499	0.096334789	0.032449731	0.238703882	0.060423699	0.121701737	0.022393374	0.073280467	0.031221719
0.306730589	0.081639523	0.029226141	0.249573605	0.074592481	0.110074098	0.021921542	0.064102302	0.028290878
0.283868066	0.070837728	0.01946157	0.265139564	0.078445132	0.145948602	0.012411813	0.065358364	0.03112897
0.305492082	0.082512095	0.026044188	0.252105089	0.095314554	0.114784778	0.014341932	0.054441064	0.024249732
0.269740334	0.088558529	0.027781949	0.229475995	0.125337462	0.121162519	0.015207348	0.052922048	0.027301834
0.240157196	0.087936141	0.035447073	0.228378364	0.117186887	0.151610708	0.017225671	0.055654269	0.03469516
0.253329923	0.095111234	0.031422488	0.253907977	0.102971487	0.122716855	0.014536527	0.065601557	0.028558948
0.258620134	0.10183116	0.034575915	0.245244268	0.17548963	0.088086588	0.016399982	0.042032557	0.016090498
0.288950427	0.08420434	0.025064933	0.252740445	0.086920715	0.139181587	0.011433906	0.060449028	0.026793511
0.277843365	0.092588159	0.032963642	0.248381309	0.114605236	0.115996067	0.013315778	0.054069514	0.02306415
0.261768383	0.109273707	0.032579758	0.242499844	0.094544157	0.114490262	0.018599165	0.068901951	0.027787934
0.589745954	0.025793348	0.010313697	0.296566812	0.01007927	0.02143405	0	0.041974225	0
0.254849635	0.102272172	0.03301224	0.254238422	0.082707636	0.122236301	0.010888864	0.079037517	0.032526801
0.323954424	0.08333082	0.031836998	0.272160215	0.05558763	0.084882894	0.011405882	0.057783979	0.017895999
0.375770015	0.063379454	0.03231628	0.269322746	0.04396686	0.069391079	0.015175923	0.063745313	0.01582561
0.264578129	0.119148359	-5.68165E-06	0.224412243	0.150216086	0.080162542	0.008432729	0.039229539	0.021862452
0.31094419	0.121192606	0.034838713	0.233444149	0.093076371	0.099856756	0.012383186	0.04699497	0.019198038
0.536197873	0.055045274	0.013098553	0.268963336	0.021699302	0.048964314	0.003692902	0.039192227	0.007934501
0.29408017	0.101157223	0.0327309	0.23790002	0.087912026	0.122120393	0.013536587	0.055046704	0.031547614
0.297356983	0.106933597	0.031159538	0.214870556	0.084243439	0.138725144	0.021453504	0.041437519	0.03925451
0.386350701	0.093083214	0.035164293	0.243798252	0.058723192	0.084863357	0.0129663	0.041373134	0.01961267
0.299813064	0.031492942	0.010013799	0.337109811	0.027319583	0.077587938	0.006579838	0.152972808	0.034482128
