Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6	origin
0.8952092	0.0379998	0.0136146	0.0294673	0.0018837	0.0153398	0.0031472	0.0007413	0.0012356	0.0000000
0.8707430	0.0136610	0.0068885	0.0895898	0.0000000	0.0096362	0.0000000	0.0094814	0.0000000	0.0000000
0.9741713	0.0068455	0.0066349	0.0066349	0.0000000	0.0036650	0.0000000	0.0000000	0.0000000	0.0000000
0.9778719	0.0025707	0.0068426	0.0102828	0.0000000	0.0024321	0.0000000	0.0000000	0.0000000	0.0000000
0.9296574	0.0301651	0.0066961	0.0198284	0.0000000	0.0106618	0.0007736	0.0005142	0.0007541	0.0000000
0.9740799	0.0030323	0.0032192	0.0166570	0.0000000	0.0030115	0.0000000	0.0000000	0.0000000	0.0000000
0.6753251	0.1720739	0.0398623	0.0262002	0.0105493	0.0536974	0.0140945	0.0028881	0.0033723	0.0000000
0.9012648	0.0089729	0.0141855	0.0640634	0.0007123	0.0081174	0.0003581	0.0013589	0.0009669	0.0000000
0.9449259	0.0266145	0.0120492	0.0072687	0.0000000	0.0091417	0.0000000	0.0000000	0.0000000	0.0000000
0.9760663	0.0049146	0.0085565	0.0089383	0.0000000	0.0006344	0.0000000	0.0000000	0.0000000	0.0000000
0.3485267	0.3675980	0.0715171	0.0256508	0.0318490	0.0791456	0.0553066	0.0042290	0.0076762	0.0000000
0.9439884	0.0101211	0.0414576	0.0036494	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
0.9339503	0.0108482	0.0054385	0.0341251	0.0024857	0.0064514	0.0005582	0.0014871	0.0008621	0.0000000
0.9154501	0.0290385	0.0529091	0.0023846	0.0000000	0.0002178	0.0000000	0.0000000	0.0000000	0.0000000
0.9414483	0.0257888	0.0173273	0.0109162	0.0024518	0.0009559	0.0000000	0.0000000	0.0000000	0.0000000
0.9100387	0.0211676	0.0188341	0.0438352	0.0043169	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
0.9663644	0.0062485	0.0137871	0.0117633	0.0000000	0.0018366	0.0000000	0.0000000	0.0000000	0.0000000
0.3355442	0.2737876	0.0580512	0.0387008	0.0249085	0.1263952	0.0951052	0.0135041	0.0168390	0.0000000
